Job;Company;City;Work Type;Work Model;Salary;Experience Level;Skills
Ing�nieur D�veloppeur Liferay;Orange Business Maroc;Casablanca Metropolitan Area (Hybrid);Associate;Hybrid;;;Esprit, Technology Intelligence, ??????? ??????, ???????, ??????? ??????, ???????? ?????????, ???????? ????????, ??? ????? ????? ?????? ??????, ???? ?????, and ????? ?????? ??????? ?????? ?????????
ANALYSTE SUPPORT ERP DYNAMICS D365 H/F;Tessi;Morocco (On-site);Full-time;On-site;;;Crunching Numbers, RStudio, ??????????, ?????????, ????????? ????????????, ?????????, ???????? ?????????, ?????? ???????, ????? ????????, and ????? ???????
Ing�nieure ou Ing�nieur Java/Angular Senior;Berger-Levrault;Rabat, Rabat-Sal�-Kenitra, Morocco (Hybrid);Full-time;Hybrid;;;Financial Engineering, Python, Regulatory Projects, ???????, ??????? ??????? ?????????, ??????? ???????, ????? ???????, ????? ??? ?????? ???????, ????? ????????? ?????????, and ????? ??????
Charg�(e) du support applicatif (H/F);Digital Virgo;Prefecture of Casablanca, Casablanca-Settat, Morocco (On-site);Full-time;On-site;;;Drupal, Technical Project Management, Technical Skillset, Technology Intelligence, ????? ???????????, ??????? ??? ?????, ???????? ????????, ????? ??????? ????????, ????? ????????, and ?????? ??????? ??? ???????
Ing�nieur Java Confirm� H/F;Smile Maroc;Casablanca-Settat, Morocco (Hybrid);Full-time;Hybrid;;;High Level Of Accuracy, Listen, Microsoft Excel, PowerPoint, Team Facilitation, ??????????, ????????, ???????? ????????, ???? ??????, and ?????? ??????? ??? ???????
Consultant Technique Microsoft Dynamics 365/CRM;Orange Business Maroc;Casablanca Metropolitan Area (Hybrid);Full-time;Hybrid;;;Fiber to the x (FTTx), IP Networking, ???? ???????, ??????, ???????? ??????? ??????, ?????, ????? ???????, ?? ?? ??, ???? ???? ???????, and ???????
Ing�nieur Valorisation - Finance de March�;Soci�t� G�n�rale - Africa Technologies & Services;Casablanca, Casablanca-Settat, Morocco (Hybrid);Mid-Senior level;Hybrid;;;Knowledge Acquisition, Performance Motivation, Relationship Development, ????? ?????, ?????? ??????? ????????, ??????????, ?????? ???????, ???? ????????, ?? ???????, and ????? ????????
R�ferent technique SalesForce (H/F);Orange Business Maroc;Rabat, Rabat-Sal�-Kenitra, Morocco (Hybrid);Full-time;Hybrid;;;GxP, JSP, Java, Software Architecture, Struts, Technical Skillset, ??????????, ??????? ???????, ??????? ??????? ?????????, and ????? ???????
Consultant ITSM ServiceNow/EasyVista H/F (Oujda);Tessi;Morocco (Hybrid);Full-time;Hybrid;;;Java, Spring Boot, and Spring Framework
Manager, Marketing Strategy & Analytics (Bangkok-based, relocation provided);Agoda;Marrakesh, Marrakesh-Safi, Morocco;Mid-Senior level;;;;High Level Of Accuracy, JIRA, Perseverant, ????????? ????????, ????????? ???????, ???????? ?????????, ???????? ????????, ?????????, ???????, and ?????? ???????
Ing�nieur sur Produits Structur�s - Regulation;Soci�t� G�n�rale - Africa Technologies & Services;Prefecture of Casablanca, Casablanca-Settat, Morocco (Hybrid);Full-time;Hybrid;;;Robot Framework, Sprint Planning, Technical Compliance, ???????? ?????, ???????? ???????, ???????, ???? ??????, ??? ???????/????????, ?????? ??????? ??? ???????, and ????? ????????
Ing�nieur Concepteur D�veloppeur Drupal;SQLI;Casablanca, Casablanca-Settat, Morocco (On-site);Full-time;On-site;;;Angular, Git, JavaScript, Microservices, PostgreSQL, Spring Boot, Spring Cloud, Spring Framework, ????????? ???????, and ???? ????? ????? ???????? (DBMS)
Superviseur franco anglophone pour une activit� Travel;Webhelp;Meknes Metropolitan Area (On-site);Full-time;On-site;;;.NET Core, C#, Career Skills, Full-Stack Development, Graphic Design Principles, HTML, ???? ??????, ????? ?????, ?? ????????, and ?????? ??????? ??? ???????
Ing�nieur r�seau IP-MPLS H/F;SII SERVICES MAROC;Casablanca, Casablanca-Settat, Morocco (Hybrid);Full-time;Hybrid;;;Gitlab, Java, JavaScript, SQL, Spring Framework, TypeScript, ????? ????? ?????, ??????, ???????? ?????? ??? ?????? ??????, and ??????
Senior Infrastructure Engineer - Datacenter;A.P. Moller - Maersk;Tangier, Tanger-Tetouan-Al Hoceima, Morocco (On-site);Full-time;On-site;;;Query Languages
Ing�nieur D�veloppeur Senior Java Fullstack (H/F)-Rabat-Maroc;Cegedim;Rabat, Rabat-Sal�-Kenitra, Morocco;Full-time;;;;C#, Cucumber, NUnit, Python, Technical Skillset, Technical Specs, ???????, ??????? ??????, ????????? ????????, and ????? ????
D�veloppeur JAVA Full stack confirm� (F/H);Eviden;Casablanca Metropolitan Area (Hybrid);Full-time;Hybrid;;;Fastlane, Gradle, JIRA, Java, SwiftUI, ????? ?????????, ?????? ??????, ??????? ??????? ????????, ????? ???? Android, and ????? ?????
Ing�nieur Int�gration solution r�seaux ;Orange Business Maroc;Rabat, Rabat-Sal�-Kenitra, Morocco (Hybrid);Full-time;Hybrid;;;React.js, SQL, and Vue.js
Ing�nieur test et automatisation s�nior H/F - Rabat (Maroc);Cegedim;Rabat, Rabat-Sal�-Kenitra, Morocco;Full-time;;;;C, C++, and Java
Ing�nieure Full Stack JAVA JEE Senior;SII SERVICES MAROC;Casablanca Metropolitan Area (On-site);Full-time;On-site;;;Angular, CSS, HTML5, Java, Spring Framework, ??????, ????? ?????? ???????? ???????, ????? ??????? ????????, ????, and ?? ????????
Ing�nieur Concepteur D�veloppeur Fullstack .NET / Angular;SQLI;Rabat, Rabat-Sal�-Kenitra, Morocco (On-site);Full-time;On-site;;;Spring Boot, Spring Framework, and ???? ??? ??????
Expert/tech Lead Java Angular;ALTEN MAROC;Rabat, Rabat-Sal�-Kenitra, Morocco (Hybrid);Full-time;Hybrid;;;Microsoft Excel, Microsoft Word, Passionate about Work, Phone Manner, Resiliency, ??????????, ?????????, ????????, ???????? ?????????, and ???? ??????
D�veloppeur Windev F/H;VISEO;Morocco (Hybrid);Full-time;Hybrid;;;Alternators, Converter, Electrical Machines, Workbench, ?????????? ??????, ????????, ????????????, ???????, ????? ????????, and ??? ???????
Technical Leader C#/.Net;Soci�t� G�n�rale - Africa Technologies & Services;Casablanca, Casablanca-Settat, Morocco (Hybrid);Full-time;Hybrid;;;Angular, Drupal, GitFlow, JIRA, JavaScript, OOP, PHP, jQuery, ???????, and ????? ???? ??? ?????
D�veloppeur Mobile IOS, Android, KMM;ALTEN;Rabat, Rabat-Sal�-Kenitra, Morocco (Hybrid);Internship;Hybrid;;;SQL
D�veloppeur Java Senior;ALTEN MAROC;Rabat, Rabat-Sal�-Kenitra, Morocco (On-site);Full-time;On-site;;;Single Line Diagrams, ????????, ??????? ????????, and ?????
D�veloppeur C & C++;ALTEN MAROC;Rabat, Rabat-Sal�-Kenitra, Morocco (Hybrid);Full-time;Hybrid;;;Corporate FP&A, IBM Planning Analytics by TM1, Like Challenges, Process Redesign, Shot Composition, ????? ??????, ??????? ??? ?????, ???????, ???????? ????????, and ??????
D�veloppeur Java/Angular (H/F);Maltem Africa;Casablanca-Settat, Morocco (On-site);Full-time;On-site;;;Agile Environment, C++, Intellectually Curious, Linux, Listen, Technical Specs, ???????? ?????????, ?????????, ????? ?????????, and ?????? ??????? ??? ???????
Ing�nieur Etude et d�veloppement JAVA Confirm� (H/F) ;Eviden;Prefecture of Casablanca, Casablanca-Settat, Morocco (On-site);Part-time;On-site;;;Coordinating Skills, Quickness, ????? ?????, ??????? ???????, ??????????, ??????? ?????, ????? ???????, ???? ??? ?????, ?????, and ?????? ???????
Yield Manager;HBX Group;Marrakesh-Safi, Morocco (Hybrid);Full-time;Hybrid;;;Android, Engine Development, Gmail, ?????????, ??????????, ?????? ???? ????, ????????, ????? ?????????, ????? ??? ????????, and ????? ??????? ?????????
Charg� d�veloppement EE;ALTEN MAROC;Rabat Metropolitan Area (Hybrid);Full-time;Hybrid;;;Advanced Driver-Assistance Systems (ADAS), Automatic vehicle location (AVL), Ensemble, Flux, Microsoft Excel, VBA, VBA Excel, Workable Solutions, ?????????, and ?????
Ing�nieur Etudes et D�veloppement DRUPAL S�nior ;Eviden;Prefecture of Casablanca, Casablanca-Settat, Morocco (Hybrid);Full-time;Hybrid;;;CSS, Drupal, Migration Projects, PHP, Symfony Framework, jQuery, ??????? ???????, ??????? ???????, ????? ??? ??????, and ????? ???????
Mod�lisateur Business Anglophone;DXC Technology Morocco;Rabat-Sal�-Kenitra, Morocco (Hybrid);Part-time;Hybrid;;;Financial Leadership, ????? ??????? ????????, ??????? ???????, ??????????, ??????? ?????????, ??????? ??????????, ???????? ?????????, ????? ???????, ?? ??? ???????, and ?????? ??????? ??? ???????
Stagiaire Infrastructure des moyens g�n�raux;Majorel Africa;Prefecture of Casablanca, Casablanca-Settat, Morocco (On-site);Part-time;On-site;;;Engine Development, Gmail, Remote Work, ?????????, ??????????, ?????? ???? ????, ????????, ????? ?????????, ????? ??? ????????, and ????? ??????? ?????????
Consultant EPM Anaplan Finance F/H;VISEO;Casablanca, Casablanca-Settat, Morocco (Hybrid);Full-time;Hybrid;;;Engine Development, Gmail, Remote Work, ?????????, ??????????, ?????? ???? ????, ????????, ????? ?????????, ????? ??? ????????, and ????? ??????? ?????????
Concepteur Developpeur C++ (H/F);Sofrecom Maroc;Rabat, Rabat-Sal�-Kenitra, Morocco (Hybrid);Full-time;Hybrid;;;Citrix, Cluster Management, DHCP, Hybrid Cloud, ?????, ??????????, ??????? ????????, ?????? ????, ????, and ????? ?????? ??????? ?????? ?????????
Manager Structuration des Indices;Soci�t� G�n�rale - Africa Technologies & Services;Prefecture of Casablanca, Casablanca-Settat, Morocco (Hybrid);Part-time;Hybrid;;;Ansible, IT Solutions, Linux, ???????, ??????????, ??????? ??? ?????, ????? ???????, ?????? ??????, and ??????
Part-Time Personalized Internet Ads Assessor - French Speakers in Morocco;TELUS International AI Data Solutions;Morocco (Remote);Full-time;Remote;;;Engine Development, Gmail, Remote Work, ?????????, ??????????, ?????? ???? ????, ????????, ????? ?????????, ????? ??? ????????, and ????? ??????? ?????????
 D�veloppeur VBA;AVL;Rabat Metropolitan Area (Hybrid);Full-time;Hybrid;;;Coordinating Skills, Project Direction, Seeing the Bigger Picture, Service Focused, ????? ????? ?????????, ????? ?????????, ?????????, ???????? ????????, ?????? ???????, and ?????? ??????? ??? ???????
D�veloppeur Senior PHP Drupal Full Stack;ALTEN MAROC;Rabat, Rabat-Sal�-Kenitra, Morocco (Hybrid);Full-time;Hybrid;;;High Level Of Accuracy, Intellectually Curious, Learnability, ????? ?????????, ????? ??????, ??????????, ??????? ??? ?????, ????????, ??????, and ?????? ??????? ??? ???????
Analyste Sales Cr�dits;Soci�t� G�n�rale - Africa Technologies & Services;Casablanca, Casablanca-Settat, Morocco (Hybrid);Full-time;Hybrid;;;Coordinating Skills, Development Project Management, Technical Specs, Technology Intelligence, ??????????, ????? ??????????, ????? ?????????, ????? ?????????, ????? ?????????, and ?????? ???????
Part-Time Personalized Internet Ads Assessor - French Speakers in Morocco;TELUS International AI Data Solutions;Morocco (Remote);Internship;Remote;;;Angular, Apache Kafka, High Level Of Accuracy, Java, Java Development, Struts, ??????, ????? ?????, ??????, and ???? ??? ??????
Part-Time Personalized Internet Ads Assessor - French Speakers in Morocco;TELUS International AI Data Solutions;Morocco (Remote);Full-time;Remote;;;Client Focus, Marketing Training, ?????????, ????????? ????????, ?????????, ???????, ???????, ????????, ??????? ???????, and ??????
 Expert SysOps Anglophone(F/H) ;CGI;Rabat, Rabat-Sal�-Kenitra, Morocco (Hybrid);;Hybrid;;;Adobe Creative Suite, CATIA, Illustrator, InDesign, Maya, Photoshop, ??????? 4D, ????? ????? ???????, ????, and ???? ?????????
Ing�nieur Syst�me AIX Confirm� ( H/F);anywr.io;Casablanca-Settat, Morocco (On-site);;On-site;;;
Part-Time Personalized Internet Ads Assessor - French Speakers in Morocco;TELUS International AI Data Solutions;Morocco (Remote);;Remote;;;
Chef de Projet Senior Scrum / Agile;CGI;F�s-Mekn�s, Morocco (On-site);;On-site;;;
Ing�nieur Support (H/F);Sofrecom Maroc;Rabat, Rabat-Sal�-Kenitra, Morocco (Hybrid);;Hybrid;;;
Chef de Projet Technique (.NET);SQLI;Agdal, F�s-Mekn�s, Morocco (On-site);;On-site;;;
D�veloppeur Java / JEE -Senior- CDI - F/H;Eviden;Prefecture of Casablanca, Casablanca-Settat, Morocco (Hybrid);;Hybrid;;;
"Conseiller(e) Commercial(e) Private ""Stage""";Avito.ma - Frontier Digital Ventures;Casablanca-Settat, Morocco (On-site);;On-site;;;
Sp�cialiste Imagerie Num�rique 3D ;ALTEN MAROC;F�s-Mekn�s, Morocco (Hybrid);;Hybrid;;;
