Job;Company;City;Work Type;Work Model;Salary;Experience Level;Skills
Senior Data Analyst (Flights team, Bangkok-based, Relocation provided);Agoda;Marrakesh, Marrakesh-Safi, Morocco;Full-time;;;Associate;Android, Barcode, Gmail, Online Search, ?????????, ??????????, ?????? ???? ????, ????????, ?????? ??????? ?? ?????????, and ????? ??????? ?????????
Freelance Personalized Internet Ads Assessor;TELUS International AI Data Solutions;Casablanca Metropolitan Area (Remote);Mid-Senior level;Remote;;Associate;Directorship, ????? ?????????, ?????? ???????, ???????, ???????, ???????, ???????, ????? ?????, ????????, and ????? ????????
Administrateur de syst�mes et de bases de donn�es/Administratrice de syst�mes et de bases de donn�es;SOREC;Rabat, Rabat-Sal�-Kenitra, Morocco (On-site);Internship;On-site;;Entry level;IT Project Management, ????? ?????????, ?????????? ????? ?????????, ????????????, ??????? ???????????, ?????? ?????????, ??????? ?, ???????? ?????????, ?????, and ?? ???????
Senior Manager - Platinion Casablanca;Boston Consulting Group (BCG);Casablanca, Casablanca-Settat, Morocco;Full-time;;;Mid-Senior level;??????????, ?????????, ????????? ????????, ???????, ?????? ?????????, ????????, ???????? ?????????, ????? ??????? ????????, ????? ????????, and ?????? ????? ????????
Sales Excellence Academy Program- Business Development Specialist (Stage PFE);Evernex;Casablanca-Settat, Morocco (On-site);Full-time;On-site;;Mid-Senior level;COBOL, DB2, Digital Technology, Gitlab, Technical Specs, ?????? ??????, ?????????, ?????????, ??????? ??? ?????, ????? ???, ????? ?????, and ???? ????? ?????????
D�veloppeur analyste Cobol;Inetum;Casablanca Metropolitan Area (Hybrid);Mid-Senior level;Hybrid;;Mid-Senior level;Java, SAP ERP, Skill Development, ???????, ????? ???????, ????? ????? ????????, ????? ?????????, ????? ?????????, ????? ??? ???, and ?????? ??????? ??????????? ?? Oracle
Software Development Manager (ERP);Oracle;Casablanca-Settat, Morocco (On-site);Mid-Senior level;On-site;;Entry level;Business Metrics, ?????? A/B, ?????????, ?????? ?????????, ?????? ???????, ??????? ????????, ??? ????????, ??????? ????????, ?????? ????????, and ??? ??????? ?????????
Supply Analytics Senior Manager (Bangkok-based role);Agoda;Marrakesh, Marrakesh-Safi, Morocco;Full-time;;;Associate;Business Case Preparation, Business Metrics, ?????? A/B, ?????????, ??????? ??? ?????, ?????? ?????????, ?????? ???????, ????? ????????, ??? ????????, and ??? ?????
Manager, Supply Analytics (Bangkok-based role);Agoda;Marrakesh, Marrakesh-Safi, Morocco;Full-time;;;Associate;Pipeline Design, RTL Coding, SIMD, ?????? ????????, ????????? ???????, ???????? ?????????, ??????? ?????????, ???????? ????????, ?? ???????, and ???? ??????
CASA - IT Engineer DBA - Database Administrator F/H;STMicroelectronics;Prefecture of Casablanca, Casablanca-Settat, Morocco (On-site);Mid-Senior level;On-site;;Mid-Senior level;Angular, Microservices, NoSQL, SOA, Software Architecture, Technical Skillset, ????? ???? ???????? (UED), ????? ???? ???????, ????? ?????, and ????? ??????? ?????????
Architecte Solutions H/F;Devoteam;Rabat, Rabat-Sal�-Kenitra, Morocco (On-site);Full-time;On-site;;Mid-Senior level;????? ????? ??????, ?????? A/B, ?????????, ?????????, ??????? ??? ?????, ?????? ?????????, ?????? ???????, ??????? ????????, ??? ????????, and ??? ????? ????????
Senior Analyst (Bangkok-based, Relocation provided);Agoda;Marrakesh, Marrakesh-Safi, Morocco;Full-time;;;Mid-Senior level;2G, Big-Picture Thinking, High Level Of Accuracy, Listen, ?????? ??????? ????????, ??????????, ??????, ?????? ?????????, ???????, and ????? ??? ???
Ing�nieur Radio Mobile (H/F);Sofrecom Maroc;Casablanca-Settat, Morocco (Hybrid);Associate;Hybrid;;Mid-Senior level;P2P, SAP, SAP ERP, SAP HANA, ???????, ???????? ?????????, ????? ???????, ???? ??????? ????? ???, ?????? ???????, and ?????????????
Consultant BI/BW H/F;Inetum;Casablanca, Casablanca-Settat, Morocco (On-site);Full-time;On-site;;Mid-Senior level;Like Challenges, Pragmatics, SQL, Scrum, ????? ????????, ??????? ??? ?????, ?????????, ???????? ????????, ???????, and ????? ?????????
Ing�nieur �tude et d�veloppement C/C++(H/F) - Rabat;Cegedim Maroc;Rabat Metropolitan Area;Full-time;;;Mid-Senior level;Microservices, Quality Oriented, Software Architecture, Spring Boot, Spring Framework, Technology Intelligence, ???????? ?????? ??? ?????? ??????, ????? ???? ??? ?????, ????? ?????, and ????? ??????????
ARCHITECTE JAVA/JEE;SQLI;Casablanca, Casablanca-Settat, Morocco (Remote);Full-time;Remote;;Associate;Feasibilities, Mechanicals, Technical Specs, VBA, ??????????, ??????? ??????? ????? ????????, ????????, ????????, ?????????, and ??????? ????????
Call for Resumes;DAI;Morocco (On-site);Contract;On-site;;Associate;CSS, ?????? ?????? ?????????, ?????? ?????? ??????, ?????????, ??????? ????????, ????? ???? ???????? (UED), ????? ????? ??? ????????, ????? ????? ????????, ???? ??????????, and ????? ?????????
Ing�nieur d'�tudes (H/F);SEGULA Technologies;Mechouar, Casablanca-Settat, Morocco (Remote);Full-time;Remote;;Entry level;Engine Development, Gmail, Remote Work, ?????????, ??????????, ?????? ???? ????, ????????, ????? ?????????, ????? ??? ????????, and ????? ??????? ?????????
Stagiaire Designer UX/UI;SQLI;Rabat, Rabat-Sal�-Kenitra, Morocco (On-site);Entry level;On-site;;Mid-Senior level;Apache Airflow, Data Operations, Development Operations, Google BigQuery, Meetup, Microservices, Obfuscation, Ops, Site Reliability Engineering, and ??????????
Freelance Personalized Internet Ads Assessor - French Speakers;TELUS International AI Data Solutions;Morocco (Remote);Full-time;Remote;;Associate;Continuous Integration and Continuous Delivery (CI/CD), Infrastructure Development, Python, Web Architecture, ???? ??????, ????? ?????????, ????? ?????? ???????? ???????, ?? ???????, ?????????? ????, and ?????? ????? ?????????
Data Ops Engineer | Devoteam Maroc Nearshore;Devoteam;Rabat, Rabat-Sal�-Kenitra, Morocco (Hybrid);Full-time;Hybrid;;Associate;High Level Of Accuracy, Linux, PostgreSQL, Unix, ??????????, ??????? ??? ?????, ??????? ?????, ????? ?????, ????? ????????, and ???? ????? ????? ???????? (DBMS)
BCG X Platform Engineer Manager;Boston Consulting Group (BCG);Casablanca, Casablanca-Settat, Morocco;Full-time;;;Mid-Senior level;ActiveMQ, Java, Java Enterprise Edition, OSGi, Open API, Swagger API, WebSphere ESB, ???????, ????? ??????? ??????, ????? ??? J2EE, and ?????? ????? ?????????
Administrateur Bases de donn�es (H/F)- Maroc;anywr.io;Prefecture of Casablanca, Casablanca-Settat, Morocco (On-site);Full-time;On-site;;Associate;Anaplan, Esprit, ModelBuilder, ??????, ?????? ??????, ?????? ???? ????????, ?????????, ???????, ??? ????????? ????????, and ??? ???????
Consultant Expert Web Methods;ilem Group;Casablanca Metropolitan Area (On-site);Mid-Senior level;On-site;;Mid-Senior level;Next.js, REST APIs, React.js, Symfony Framework, ????????, and ?????
Model Builder Anaplan Junior F/H;Deloitte;Mechouar, Casablanca-Settat, Morocco (Hybrid);Full-time;Hybrid;;Mid-Senior level;Staffing Processes, ????? ?????????, ?????????, ??????, ??????? ??????? , ????? ????? ???????, ????? ????? ????????, ??? ???????? ?????, ?? ????????, and ?????? ??????? ??? ???????
Responsable d�veloppement Web et mobile;Monarkit.net;Marrakesh, Marrakesh-Safi, Morocco (On-site);Director;On-site;;Entry level;JIRA, Python, Scrum, Terraform, ????? ?????????, ??????? ????????, ??????? ?????????, ????? ?????? ??? (AWS), ????? ?? ??? ?????, ???? ???????, and ?????????? ????
BCG X Senior Staffing Specialist;Boston Consulting Group (BCG);Casablanca, Casablanca-Settat, Morocco;Full-time;;;Mid-Senior level;Business Architecture, Director level, SOA, Technical Project Management, Technology Consulting, ????? ????????, ????? ?????????, ?????????, ??????? ????????, and ????? ?????????
TechLead Cloud Data (F/H);CGI;Rabat, Rabat-Sal�-Kenitra, Morocco (Hybrid);Internship;Hybrid;;Associate;HTML5, JavaScript, PHP, Symfony Framework, ??????????, ???????, ??????? ??????? ?????????, ????? ????????, ????? ???????, and ????? ????????
Chief Enterprise Architect- Platinion Casablanca;Boston Consulting Group (BCG);Casablanca, Casablanca-Settat, Morocco;Full-time;;;Mid-Senior level;????????? and ???????
Ing�nieur Concepteur D�veloppeur Symfony (Rabat);SQLI;Rabat, Rabat-Sal�-Kenitra, Morocco (On-site);Full-time;On-site;;Mid-Senior level;Microsoft SQL Server, Synthesizing, ??????????, ?????????, ??????? ??????, ????????, ????? ???????, ????? ??????? ????????, ????? ????????, and ????? ??? ???
